community_unit,predictor,response_type,analysis_method,effect_scope,n,n_dives,frames_present,frames_absent,estimate,std_error,edf,statistic,p_value,deviance_explained,model_r_squared,p_adjusted_within_model_family,p_adjust_family
Echinoderm_brittlestar,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,within_dive,179,7,162,17,0.026703370868256398,0.024685236708559703,NA,1.0817547015458393,0.27936153962230065,0.3390281106694237,0.19305261741022928,0.6628376687536287,BH_within_binomial_linear_with_dive_random_intercept_depth_m_frame_occurrence
Echinoderm_brittlestar,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,within_dive,179,7,162,17,NA,NA,0.1897930461943833,0.23045937037972808,0.27133707024788467,0.33258264202121224,0.20762816792907968,0.5426741404957693,BH_within_binomial_gam_with_dive_random_intercept_depth_m_frame_occurrence
Echinoderm_brittlestar,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,within_dive,179,7,162,17,0.039164419910095206,0.009870916364319814,NA,3.9676579625030537,1.0655982250063032e-4,0.509409093307619,0.4630053973773123,0.0012787178700075638,BH_within_quasibinomial_linear_with_dive_random_intercept_depth_m_valid_point_cover
Echinoderm_brittlestar,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,within_dive,179,7,162,17,-0.5988300850967967,0.30016312207328866,NA,-1.9950155134333414,0.04604118790536566,0.36543237725011923,0.20471465002360323,0.276247127432194,BH_within_binomial_linear_with_dive_random_intercept_temperature_frame_occurrence
Echinoderm_brittlestar,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,within_dive,179,7,162,17,NA,NA,1.507622534001134,27.484343326284463,0.03420155371153366,0.39607249478601153,0.24210414769759026,0.13680621484613464,BH_within_binomial_gam_with_dive_random_intercept_temperature_frame_occurrence
Echinoderm_brittlestar,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,within_dive,179,7,162,17,-0.7577519265826632,0.18796038231747678,NA,-4.031444910038399,8.329038856875203e-5,0.5430347038747338,0.464281681702313,9.994846628250244e-4,BH_within_quasibinomial_linear_with_dive_random_intercept_temperature_valid_point_cover
Mollusc_bivalvia_burrowingclam,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,within_dive,179,7,97,82,-0.02181631562656645,0.020565998709391048,NA,-1.0607953416142377,0.2887829197172311,0.34034207033599306,0.37981753405053764,0.6628376687536287,BH_within_binomial_linear_with_dive_random_intercept_depth_m_frame_occurrence
Mollusc_bivalvia_burrowingclam,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,within_dive,179,7,97,82,NA,NA,2.6214962941487445,51.064097707949955,0.2357578697568049,0.3741104330471672,0.4113468277813116,0.5426741404957693,BH_within_binomial_gam_with_dive_random_intercept_depth_m_frame_occurrence
Mollusc_bivalvia_burrowingclam,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,within_dive,179,7,97,82,-0.009854794150240596,0.013383134660279435,NA,-0.7363591864235812,0.4625186911386959,0.4840825029893542,0.4506859635321696,0.792889184809193,BH_within_quasibinomial_linear_with_dive_random_intercept_depth_m_valid_point_cover
Mollusc_bivalvia_burrowingclam,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,within_dive,179,7,97,82,0.17418198599077397,0.24576563137802235,NA,0.7087320754091014,0.47849075610376846,0.3376182192122099,0.3746366284242222,0.552949034173596,BH_within_binomial_linear_with_dive_random_intercept_temperature_frame_occurrence
